"","per_game.Season","per_game.Age","per_game.Tm","per_game.Lg","per_game.Pos","per_game.G","per_game.GS","per_game.MP","per_game.FG","per_game.FGA","per_game.FG.","per_game.3P","per_game.3PA","per_game.3P.","per_game.2P","per_game.2PA","per_game.2P.","per_game.eFG.","per_game.FT","per_game.FTA","per_game.FT.","per_game.ORB","per_game.DRB","per_game.TRB","per_game.AST","per_game.STL","per_game.BLK","per_game.TOV","per_game.PF","per_game.PTS","player_id"
"367","2016-17","21","BOS","NBA","SG","14","0","6.3","0.6","1.5",".381","0.3","0.9",".333","0.3","0.6",".444",".476","0.3","0.4",".800","0.2","0.8","1.0","0.3","0.2","0.0","0.1","0.2","1.7","youngja01"
"368","2007-08","22","WAS","NBA","SG","75","2","15.4","2.8","6.4",".439","0.5","1.3",".400","2.3","5.0",".450",".481","1.3","1.7",".815","0.3","1.2","1.5","0.8","0.5","0.1","1.3","1.7","7.5","youngni01"
"369","2008-09","23","WAS","NBA","SG","82","5","22.4","4.1","9.2",".444","0.7","2.0",".341","3.4","7.2",".473",".481","2.0","2.4",".850","0.4","1.5","1.8","1.2","0.5","0.2","1.1","1.7","10.9","youngni01"
"370","2009-10","24","WAS","NBA","SG","74","23","19.2","3.1","7.5",".418","0.9","2.3",".406","2.2","5.2",".423",".479","1.4","1.8",".800","0.3","1.1","1.4","0.6","0.4","0.1","0.8","2.0","8.6","youngni01"
"371","2010-11","25","WAS","NBA","SG","64","40","31.8","6.4","14.6",".441","1.6","4.2",".387","4.8","10.4",".462",".497","2.9","3.6",".816","0.4","2.3","2.7","1.2","0.7","0.3","1.4","2.3","17.4","youngni01"
"372","2011-12","26","TOT","NBA","SG","62","35","27.9","5.1","12.6",".403","1.7","4.5",".365","3.4","8.1",".424",".469","2.3","2.7",".852","0.5","1.6","2.1","0.9","0.7","0.3","1.3","2.3","14.2","youngni01"
"373","2011-12","26","WAS","NBA","SG","40","32","30.3","6.0","14.8",".406","1.8","4.9",".371","4.2","9.9",".424",".468","2.8","3.3",".862","0.5","1.9","2.4","1.2","0.8","0.3","1.5","2.3","16.6","youngni01"
"374","2011-12","26","LAC","NBA","SG","22","3","23.5","3.5","8.8",".394","1.4","3.9",".353","2.1","4.9",".426",".472","1.5","1.8",".821","0.5","1.1","1.6","0.5","0.6","0.3","1.1","2.3","9.7","youngni01"
"375","2012-13","27","PHI","NBA","SG","59","17","23.9","3.8","9.2",".413","1.3","3.6",".357","2.5","5.6",".449",".482","1.8","2.2",".820","0.4","1.8","2.2","1.4","0.6","0.2","0.8","1.4","10.6","youngni01"
"376","2013-14","28","LAL","NBA","SG","64","9","28.3","6.0","13.9",".435","2.1","5.5",".386","3.9","8.4",".468",".511","3.7","4.5",".825","0.5","2.1","2.6","1.5","0.7","0.2","1.5","2.4","17.9","youngni01"
"377","2014-15","29","LAL","NBA","SG","42","0","23.8","4.1","11.3",".366","2.0","5.4",".369","2.2","6.0",".363",".453","3.1","3.5",".892","0.4","1.9","2.3","1.0","0.5","0.3","1.0","2.0","13.4","youngni01"
"378","2015-16","30","LAL","NBA","SG","54","2","19.1","2.3","6.9",".339","1.4","4.4",".325","0.9","2.5",".363",".442","1.2","1.4",".829","0.3","1.5","1.8","0.6","0.4","0.1","0.6","0.9","7.3","youngni01"
"379","2016-17","31","LAL","NBA","SG","44","44","26.6","4.8","10.6",".451","2.9","6.9",".424","1.9","3.8",".500",".588","1.4","1.6",".847","0.5","1.8","2.3","1.0","0.6","0.3","0.6","2.4","13.9","youngni01"
"380","2016-17","22","CHI","NBA","SF","19","4","13.9","1.3","3.8",".347","0.6","1.8",".324","0.7","2.0",".368",".424","0.8","1.1",".800","0.2","1.8","2.1","0.3","0.2","0.2","0.6","0.8","4.1","zipsepa01"
"381","2015-16","23","LAL","NBA","SF","29","11","20.7","1.3","4.3",".310","0.7","2.4",".286","0.7","1.9",".339",".389","0.6","0.7",".850","0.3","2.1","2.4","0.7","0.5","0.2","0.5","1.2","4.0","brownan02"
"382","2016-17","24","TOT","NBA","SF","11","0","14.5","1.6","4.5",".360","0.6","2.5",".259","1.0","2.1",".478",".430","0.0","0.0","","0.7","2.3","3.0","0.7","0.5","0.1","0.5","1.4","3.9","brownan02"
"383","2016-17","24","NOP","NBA","SF","9","0","15.9","1.6","4.6",".341","0.7","2.7",".250","0.9","1.9",".471",".415","0.0","0.0","","0.7","2.2","2.9","0.7","0.6","0.1","0.6","1.4","3.8","brownan02"
"384","2016-17","24","ORL","NBA","SF","2","0","8.0","2.0","4.5",".444","0.5","1.5",".333","1.5","3.0",".500",".500","0.0","0.0","","1.0","2.5","3.5","1.0","0.0","0.0","0.5","1.0","4.5","brownan02"
"385","2002-03","22","GSW","NBA","SF","82","3","15.9","2.0","5.1",".403","0.6","1.8",".347","1.4","3.3",".434",".465","1.0","1.2",".780","0.8","1.8","2.6","1.3","0.6","0.2","1.0","1.5","5.7","dunlemi02"
"386","2003-04","23","GSW","NBA","SF","75","69","31.1","4.3","9.6",".449","1.3","3.4",".370","3.1","6.2",".491",".514","1.8","2.5",".741","1.2","4.7","5.9","2.9","0.9","0.2","1.9","2.3","11.7","dunlemi02"
"387","2004-05","24","GSW","NBA","SF","79","79","32.5","5.2","11.5",".451","1.4","3.5",".388","3.8","8.0",".479",".510","1.7","2.2",".779","1.2","4.3","5.5","2.6","1.0","0.3","1.7","2.5","13.4","dunlemi02"
"388","2005-06","25","GSW","NBA","SF","81","68","31.8","4.1","10.1",".406","0.9","3.2",".285","3.2","6.9",".462",".451","2.4","3.1",".778","1.0","4.0","4.9","2.9","0.7","0.4","1.5","2.5","11.5","dunlemi02"
"389","2006-07","26","TOT","NBA","SG-PF","82","49","31.5","4.7","10.4",".452","0.9","2.7",".313","3.8","7.6",".502",".493","2.6","3.3",".784","1.0","4.2","5.3","2.8","1.0","0.3","1.8","2.5","12.8","dunlemi02"
"390","2006-07","26","GSW","NBA","PF","39","6","26.9","4.3","9.5",".449","0.9","2.7",".346","3.3","6.8",".489",".497","2.0","2.6",".772","1.0","3.8","4.8","3.0","1.0","0.3","1.8","2.1","11.4","dunlemi02"
