"","per_game.Season","per_game.Age","per_game.Tm","per_game.Lg","per_game.Pos","per_game.G","per_game.GS","per_game.MP","per_game.FG","per_game.FGA","per_game.FG.","per_game.3P","per_game.3PA","per_game.3P.","per_game.2P","per_game.2PA","per_game.2P.","per_game.eFG.","per_game.FT","per_game.FTA","per_game.FT.","per_game.ORB","per_game.DRB","per_game.TRB","per_game.AST","per_game.STL","per_game.BLK","per_game.TOV","per_game.PF","per_game.PTS","player_id"
"380","2015-16","25","BRK","NBA","C","39","2","10.9","1.9","3.4",".571","0.0","0.0","","1.9","3.4",".571",".571","0.8","1.4",".545","1.3","1.9","3.1","0.3","0.2","0.8","0.4","1.2","4.7","reedwi02"
"381","2016-17","26","MIA","NBA","C","40","5","14.8","2.4","4.0",".600","0.0","0.1",".000","2.4","4.0",".608",".600","0.8","1.4",".564","1.8","3.1","4.9","0.4","0.2","0.8","0.4","1.7","5.6","reedwi02"
"382","2007-08","21","PHI","NBA","PF","76","1","14.6","1.9","4.1",".455","0.1","0.2",".286","1.8","3.9",".463",".461","0.7","1.1",".659","1.0","2.0","3.0","0.3","0.3","0.7","0.6","1.9","4.5","smithja02"
"383","2008-09","22","Did Not Play (injury—knee)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"smithja02"
"384","2009-10","23","PHI","NBA","PF","56","2","11.8","1.3","3.1",".431","0.2","0.5",".345","1.2","2.6",".448",".460","0.5","0.8",".690","1.0","1.4","2.4","0.6","0.4","0.5","0.6","2.0","3.4","smithja02"
"385","2010-11","24","NOH","NBA","C","77","6","14.3","1.8","4.0",".443","0.0","0.0",".000","1.8","4.0",".446",".443","0.8","0.9",".843","1.2","2.0","3.1","0.5","0.3","0.4","0.7","1.9","4.3","smithja02"
"386","2011-12","25","NOH","NBA","PF","40","29","23.7","4.5","8.7",".520","0.0","0.2",".111","4.5","8.5",".531",".522","0.8","1.2",".702","1.8","3.1","4.9","0.9","0.5","1.0","1.0","2.6","9.9","smithja02"
"387","2012-13","26","NOH","NBA","C","51","0","17.2","3.3","6.7",".490","0.0","0.1",".000","3.3","6.6",".496",".490","1.7","2.0",".843","1.3","2.4","3.6","0.7","0.3","0.9","1.1","2.4","8.2","smithja02"
"388","2013-14","27","NOP","NBA","PF","31","27","26.8","4.2","9.1",".465","0.0","0.0","","4.2","9.1",".465",".465","1.3","1.6",".780","1.6","4.2","5.8","0.9","0.4","0.9","0.9","3.2","9.7","smithja02"
"389","2014-15","28","NYK","NBA","C","82","31","21.8","3.1","7.2",".434","0.2","0.5",".357","3.0","6.7",".440",".447","1.5","1.9",".830","1.2","2.8","4.0","1.7","0.4","0.5","1.3","2.5","8.0","smithja02"
"390","2015-16","29","ORL","NBA","C","76","2","15.5","3.2","6.6",".485","0.1","0.2",".250","3.2","6.4",".493",".489","0.7","0.9",".806","0.7","2.2","2.9","0.8","0.4","0.9","0.8","2.1","7.2","smithja02"
"391","2016-17","30","WAS","NBA","C","46","0","12.8","2.0","3.9",".522","0.2","0.3",".438","1.9","3.6",".530",".542","0.4","0.5",".720","0.9","2.1","3.0","0.4","0.3","0.7","0.8","2.4","4.6","smithja02"
"392","2011-12","21","LAC","NBA","C","24","0","5.0","1.0","2.5",".393","0.2","0.5",".308","0.8","2.0",".417",".426","0.2","0.3",".714","0.2","0.8","1.0","0.1","0.1","0.1","0.3","0.4","2.4","thomptr02"
"393","2015-16","23","PHO","NBA","PF","10","0","6.8","1.0","2.4",".417","0.0","0.0","","1.0","2.4",".417",".417","0.9","1.4",".643","1.4","2.4","3.8","0.5","0.4","0.5","0.6","1.5","2.9","willial03"
"394","2016-17","24","PHO","NBA","PF","18","0","6.7","1.2","2.1",".553","0.0","0.0","","1.2","2.1",".553",".553","0.6","1.2",".524","1.4","1.5","2.9","0.1","0.4","0.5","0.5","1.5","2.9","willial03"
"395","2007-08","20","GSW","NBA","PF","38","6","9.9","1.6","2.9",".554","0.0","0.0","","1.6","2.9",".554",".554","0.7","1.1",".675","1.0","1.6","2.6","0.2","0.2","0.6","0.3","0.9","4.0","wrighbr03"
"396","2008-09","21","GSW","NBA","PF","39","23","17.6","3.3","6.3",".528","0.0","0.1",".000","3.3","6.2",".537",".528","1.6","2.2",".741","1.6","2.4","4.0","0.5","0.6","0.9","0.6","1.9","8.3","wrighbr03"
"397","2009-10","22","Did Not Play (injury—shoulder)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wrighbr03"
"398","2010-11","23","TOT","NBA","PF","37","2","10.2","1.6","3.2",".513","0.0","0.0","","1.6","3.2",".513",".513","0.6","0.8",".677","0.8","1.6","2.4","0.3","0.3","0.5","0.4","0.9","3.8","wrighbr03"
"399","2010-11","23","GSW","NBA","PF","21","1","9.3","1.8","3.0",".603","0.0","0.0","","1.8","3.0",".603",".603","0.3","0.7",".500","0.7","1.3","2.0","0.2","0.1","0.5","0.5","0.9","4.0","wrighbr03"
"400","2010-11","23","NJN","NBA","PF","16","1","11.5","1.4","3.4",".407","0.0","0.0","","1.4","3.4",".407",".407","0.9","1.1",".824","1.1","1.9","3.0","0.4","0.5","0.4","0.3","0.9","3.6","wrighbr03"
"401","2011-12","24","DAL","NBA","C","49","0","16.1","2.9","4.8",".618","0.0","0.0",".000","2.9","4.7",".621",".618","1.1","1.7",".634","1.3","2.3","3.6","0.3","0.4","1.3","0.4","1.2","6.9","wrighbr03"
"402","2012-13","25","DAL","NBA","C","64","16","18.0","3.8","6.3",".597","0.0","0.0",".000","3.8","6.3",".601",".597","0.9","1.5",".615","1.3","2.7","4.1","0.6","0.4","1.2","0.5","1.2","8.5","wrighbr03"
"403","2013-14","26","DAL","NBA","C","58","0","18.6","3.9","5.7",".677","0.0","0.0","","3.9","5.7",".677",".677","1.3","1.8",".726","1.8","2.4","4.2","0.5","0.6","0.9","0.6","1.6","9.1","wrighbr03"
"404","2014-15","27","TOT","NBA","PF","75","7","19.3","3.1","4.8",".642","0.0","0.0",".000","3.1","4.8",".647",".642","1.0","1.5",".696","1.7","2.6","4.3","0.5","0.7","1.3","0.5","1.4","7.3","wrighbr03"
"405","2014-15","27","DAL","NBA","PF","27","0","18.7","3.7","5.0",".748","0.0","0.0","","3.7","5.0",".748",".748","1.3","1.8",".750","1.9","2.2","4.1","0.4","0.6","1.6","0.5","1.6","8.8","wrighbr03"
"406","2014-15","27","BOS","NBA","PF","8","0","10.8","1.5","2.6",".571","0.0","0.0","","1.5","2.6",".571",".571","0.3","0.5",".500","0.9","1.3","2.1","1.0","0.1","0.6","0.6","0.5","3.3","wrighbr03"
"407","2014-15","27","PHO","NBA","PF","40","7","21.5","3.0","5.2",".580","0.0","0.1",".000","3.0","5.1",".588",".580","1.0","1.5",".667","1.8","3.1","4.9","0.6","0.8","1.2","0.4","1.4","7.0","wrighbr03"
"408","2015-16","28","MEM","NBA","PF","12","2","17.7","2.9","4.3",".673","0.0","0.0","","2.9","4.3",".673",".673","1.1","2.0",".542","1.2","2.4","3.6","0.5","0.4","1.3","0.8","1.8","6.9","wrighbr03"
"409","2016-17","29","MEM","NBA","PF","1","0","5.0","3.0","5.0",".600","0.0","0.0","","3.0","5.0",".600",".600","0.0","0.0","","1.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0","6.0","wrighbr03"
