"","Value","Totals >> G","Totals >> GS","Totals >> MP","Totals >> FG","Totals >> FGA","Totals >> 3P","Totals >> 3PA","Totals >> FT","Totals >> FTA","Totals >> ORB","Totals >> TRB","Totals >> AST","Totals >> STL","Totals >> BLK","Totals >> TOV","Totals >> PF","Totals >> PTS","Shooting >> FG%","Shooting >> 3P%","Shooting >> FT%","Advanced >> TS%","Advanced >> USG%","Advanced >> ORtg","Advanced >> DRtg","Per Game >> MP","Per Game >> PTS","Per Game >> TRB","Per Game >> AST","player_id"
"3287","30-39","343","293","11872","1819","3974","574","1464","815","1031","333","1879","984","313","137","588","771","5027",".458",".392",".790",".568","18.9","110","107","34.6","14.7","5.5","2.9","dunlemi02"
"3288","20-29","374","180","9391","1247","2986","433","1213","608","752","223","1450","712","253","121","473","724","3535",".418",".357",".809",".533","17.9","103","108","25.1","9.5","3.9","1.9","dunlemi02"
"3289","10-19","135","33","2190","267","684","99","306","134","170","48","306","149","48","24","126","237","767",".390",".324",".788",".505","17.9","95","110","16.2","5.7","2.3","1.1","dunlemi02"
"3290","0-9","35","3","239","21","83","6","35","7","10","10","29","12","6","3","17","29","55",".253",".171",".700",".315","19.0","64","115","6.8","1.6","0.8","0.3","dunlemi02"
"3291","0 Days","240","149","6785","943","2207","309","870","472","591","181","1069","541","175","73","367","489","2667",".427",".355",".799",".541","18.7","104","108","28.3","11.1","4.5","2.3","dunlemi02"
"3292","1 Day","488","296","13736","2030","4520","673","1732","956","1179","347","2108","1116","363","190","691","1000","5689",".449",".389",".811",".565","18.6","109","107","28.1","11.7","4.3","2.3","dunlemi02"
"3293","2 Days","156","91","4288","624","1385","203","534","283","367","106","662","339","115","36","207","320","1734",".451",".380",".771",".561","18.2","109","109","27.5","11.1","4.2","2.2","dunlemi02"
"3294","3+ Days","67","41","1829","254","604","83","225","118","139","48","272","136","52","21","71","127","709",".421",".369",".849",".533","17.9","108","108","27.3","10.6","4.1","2.0","dunlemi02"
"3295","Eastern","538","316","14994","2151","4842","735","1925","1059","1309","314","2281","1183","394","169","760","1064","6096",".444",".382",".809",".563","18.5","107","107","27.9","11.3","4.2","2.2","dunlemi02"
"3296","Western","428","269","12046","1751","4005","549","1485","797","1003","376","1887","984","320","152","600","900","4848",".437",".370",".795",".545","18.5","107","109","28.1","11.3","4.4","2.3","dunlemi02"
"3297","Atlantic","191","107","5291","809","1772","258","709","347","425","110","788","434","142","60","265","366","2223",".457",".364",".816",".567","18.8","109","106","27.7","11.6","4.1","2.3","dunlemi02"
"3298","Central","180","100","4945","680","1526","233","591","377","481","106","766","398","122","63","222","342","1970",".446",".394",".784",".567","18.0","110","107","27.5","10.9","4.3","2.2","dunlemi02"
"3299","Midwest","53","23","1186","147","359","48","127","76","100","42","190","105","46","17","87","101","418",".409",".378",".760",".519","18.6","97","106","22.4","7.9","3.6","2.0","dunlemi02"
"3300","Northwest","111","77","3214","494","1093","173","432","217","269","101","488","276","72","41","149","251","1378",".452",".400",".807",".569","18.5","112","108","29.0","12.4","4.4","2.5","dunlemi02"
"3301","Pacific","151","91","4297","644","1468","197","544","296","364","148","715","345","110","54","229","311","1781",".439",".362",".813",".547","18.7","107","109","28.5","11.8","4.7","2.3","dunlemi02"
"3302","Southeast","167","109","4758","662","1544","244","625","335","403","98","727","351","130","46","273","356","1903",".429",".390",".831",".553","18.7","104","107","28.5","11.4","4.4","2.1","dunlemi02"
"3303","Southwest","113","78","3348","466","1085","131","382","208","270","85","494","258","92","40","135","237","1271",".429",".343",".770",".528","17.9","106","111","29.6","11.2","4.4","2.3","dunlemi02"
"3304","Atlanta","35","23","1030","152","320","59","133","70","85","34","187","69","34","7","63","74","433",".475",".444",".824",".606","17.9","111","105","29.4","12.4","5.3","2.0","dunlemi02"
"3305","Boston","33","16","817","108","248","23","83","59","69","24","120","63","25","7","58","66","298",".435",".277",".855",".535","18.1","99","106","24.7","9.0","3.6","1.9","dunlemi02"
"3306","CHA, CHO","31","24","933","121","299","45","121","60","68","20","149","73","13","18","54","79","347",".405",".372",".882",".527","18.6","100","104","30.1","11.2","4.8","2.4","dunlemi02"
"3307","Chicago","30","15","811","106","261","39","110","68","89","17","119","57","24","10","52","38","319",".406",".355",".764",".531","19.1","99","106","27.0","10.6","4.0","1.9","dunlemi02"
"3308","Cleveland","37","22","1121","165","345","57","136","75","100","20","166","115","23","15","47","80","462",".478",".419",".750",".594","17.9","114","108","30.3","12.5","4.5","3.1","dunlemi02"
"3309","Dallas","27","18","770","114","267","37","97","52","66","24","121","53","24","9","27","70","317",".427",".381",".788",".535","18.2","110","112","28.5","11.7","4.5","2.0","dunlemi02"
"3310","Denver","28","19","733","125","263","38","95","51","64","31","119","73","21","11","37","75","339",".475",".400",".797",".582","18.8","115","110","26.2","12.1","4.3","2.6","dunlemi02"
"3311","Detroit","41","21","1092","137","320","40","114","73","90","20","156","75","23","11","48","85","387",".428",".351",".811",".538","17.5","105","108","26.6","9.4","3.8","1.8","dunlemi02"
"3312","Golden State","12","7","362","54","129","24","65","39","41","7","71","35","7","5","22","28","171",".419",".369",".951",".581","19.4","111","108","30.2","14.3","5.9","2.9","dunlemi02"
"3313","Houston","30","16","821","103","249","33","94","45","60","21","122","79","17","7","45","58","284",".414",".351",".750",".516","17.7","99","109","27.4","9.5","4.1","2.6","dunlemi02"
"3314","Indiana","25","11","671","95","208","35","83","48","57","16","128","46","16","13","23","47","273",".457",".422",".842",".586","17.2","115","106","26.9","10.9","5.1","1.8","dunlemi02"
"3315","LA Clippers","29","19","837","119","279","33","96","50","69","37","136","64","20","10","46","66","321",".427",".344",".725",".519","19.0","100","108","28.9","11.1","4.7","2.2","dunlemi02"
"3316","LA Lakers","31","19","795","109","266","36","107","55","68","21","136","69","26","9","39","54","309",".410",".336",".809",".522","18.6","105","110","25.6","10.0","4.4","2.2","dunlemi02"
"3317","Memphis","30","20","781","102","251","26","91","49","63","20","110","59","27","9","40","64","279",".406",".286",".778",".501","18.0","99","108","26.0","9.3","3.7","2.0","dunlemi02"
"3318","Miami","41","25","1066","151","364","48","134","77","90","24","165","82","33","3","53","77","427",".415",".358",".856",".529","19.4","103","107","26.0","10.4","4.0","2.0","dunlemi02"
"3319","Milwaukee","36","26","1014","140","309","48","124","97","124","21","149","81","24","12","43","77","425",".453",".387",".782",".584","18.1","114","105","28.2","11.8","4.1","2.3","dunlemi02"
"3320","Minnesota","30","20","844","129","284","53","116","60","71","30","125","76","19","16","44","68","371",".454",".457",".845",".588","18.7","114","110","28.1","12.4","4.2","2.5","dunlemi02"
"3321","NJN, BRK","35","22","991","165","343","61","144","77","95","23","141","83","27","8","47","79","468",".481",".424",".811",".608","19.9","116","107","28.3","13.4","4.0","2.4","dunlemi02"
"3322","NOH, NOK, NOP","29","17","813","116","261","39","101","49","65","20","116","70","27","16","36","47","320",".444",".386",".754",".552","18.4","109","110","28.0","11.0","4.0","2.4","dunlemi02"
"3323","New York","38","22","1049","165","374","51","157","61","75","24","174","90","36","11","41","54","442",".441",".325",".813",".543","18.9","109","107","27.6","11.6","4.6","2.4","dunlemi02"
"3324","SEA, OKC","30","18","833","124","276","39","93","44","55","33","153","66","22","6","37","63","331",".449",".419",".800",".551","17.9","110","108","27.8","11.0","5.1","2.2","dunlemi02"
"3325","Orlando","38","21","1095","162","370","62","141","67","87","25","152","104","29","8","62","74","453",".438",".440",".770",".555","19.1","105","110","28.8","11.9","4.0","2.7","dunlemi02"
"3326","Philadelphia","37","21","1090","170","366","61","156","64","81","11","166","86","26","13","58","64","465",".464",".391",".790",".579","18.8","108","103","29.5","12.6","4.5","2.3","dunlemi02"
"3327","Phoenix","33","18","968","161","338","44","118","70","83","31","162","73","18","22","49","69","436",".476",".373",".843",".582","18.3","114","110","29.3","13.2","4.9","2.2","dunlemi02"
"3328","Portland","30","20","834","123","290","36","117","42","51","28","139","69","21","5","43","55","324",".424",".308",".824",".518","19.0","104","104","27.8","10.8","4.6","2.3","dunlemi02"
"3329","Sacramento","32","22","1012","158","346","49","123","66","83","32","133","81","27","7","52","67","431",".457",".398",".795",".563","18.7","110","110","31.6","13.5","4.2","2.5","dunlemi02"
"3330","San Antonio","31","22","936","129","293","31","85","56","74","21","139","63","25","8","40","62","345",".440",".365",".757",".530","18.0","105","113","30.2","11.1","4.5","2.0","dunlemi02"
"3331","Toronto","39","21","1088","167","363","51","133","79","94","19","143","85","24","18","46","81","464",".460",".383",".840",".574","18.7","111","108","27.9","11.9","3.7","2.2","dunlemi02"
"3332","Utah","30","16","785","97","241","35","93","71","93","22","117","59","24","13","49","60","300",".402",".376",".763",".532","19.1","100","105","26.2","10.0","3.9","2.0","dunlemi02"
"3333","Washington","38","24","1051","135","324","51","150","82","102","14","154","69","32","14","59","83","403",".417",".340",".804",".546","18.0","102","107","27.7","10.6","4.1","1.8","dunlemi02"
"3334","Total","442","376","11013","1396","3267","806","1997","358","437","238","1498","714","442","348","453","732","3956",".427",".404",".819",".572","16.2","106","102","24.9","9.0","3.4","1.6","greenda02"
"3335","Home","223","182","5344","717","1603","428","995","190","227","123","717","374","206","192","231","346","2052",".447",".430",".837",".603","16.6","110","101","24.0","9.2","3.2","1.7","greenda02"
"3336","Road","219","194","5669","679","1664","378","1002","168","210","115","781","340","236","156","222","386","1904",".408",".377",".800",".542","15.9","102","103","25.9","8.7","3.6","1.6","greenda02"
"3337","Pre","289","238","7308","878","2114","515","1316","216","263","153","1006","472","295","235","312","461","2487",".415",".391",".821",".558","16.0","103","102","25.3","8.6","3.5","1.6","greenda02"
"3338","Post","153","138","3705","518","1153","291","681","142","174","85","492","242","147","113","141","271","1469",".449",".427",".816",".597","16.8","112","103","24.2","9.6","3.2","1.6","greenda02"
"3339","Win","331","285","8181","1055","2367","626","1463","269","328","164","1123","566","330","268","339","532","3005",".446",".428",".820",".598","16.0","110","99","24.7","9.1","3.4","1.7","greenda02"
"3340","Loss","111","91","2832","341","900","180","534","89","109","74","375","148","112","80","114","200","951",".379",".337",".817",".502","17.1","96","110","25.5","8.6","3.4","1.3","greenda02"
"3341","October","6","6","167","18","47","8","28","0","0","4","24","6","3","6","14","10","44",".383",".286",NA,".468","16.9","75","103","27.9","7.3","4.0","1.0","greenda02"
"3342","November","77","71","2024","243","568","142","352","45","51","34","267","136","74","65","76","107","673",".428",".403",".882",".570","15.2","105","100","26.3","8.7","3.5","1.8","greenda02"
"3343","December","84","71","2011","259","600","151","378","55","68","39","250","118","88","58","94","147","724",".432",".399",".809",".575","16.4","103","103","23.9","8.6","3.0","1.4","greenda02"
"3344","January","85","59","2053","234","590","142","365","64","82","51","295","145","90","75","76","132","674",".397",".389",".780",".538","15.7","103","101","24.1","7.9","3.5","1.7","greenda02"
"3345","February","60","54","1690","207","487","118","304","79","94","40","271","105","62","49","86","124","611",".425",".388",".840",".578","16.7","105","103","28.2","10.2","4.5","1.8","greenda02"
"3346","March","77","69","1886","264","598","148","339","76","93","45","242","129","82","63","64","126","752",".441",".437",".817",".588","16.9","113","102","24.5","9.8","3.1","1.7","greenda02"
"3347","April","53","46","1181","171","377","97","231","39","49","25","149","75","43","32","43","86","478",".454",".420",".796",".600","17.0","111","104","22.3","9.0","2.8","1.4","greenda02"
"3348","Sunday","46","39","1141","153","355","93","226","43","56","19","181","84","61","44","38","79","442",".431",".412",".768",".582","16.8","109","97","24.8","9.6","3.9","1.8","greenda02"
"3349","Monday","60","50","1425","142","398","71","232","40","46","40","189","99","51","38","66","93","395",".357",".306",".870",".472","15.6","92","101","23.8","6.6","3.2","1.7","greenda02"
"3350","Tuesday","48","41","1193","153","371","86","230","35","49","21","149","68","56","33","49","94","427",".412",".374",".714",".544","16.7","100","105","24.8","8.9","3.1","1.4","greenda02"
"3351","Wednesday","106","89","2651","371","804","216","506","86","103","54","382","167","101","84","103","176","1044",".461",".427",".835",".615","16.5","112","101","25.0","9.8","3.6","1.6","greenda02"
"3352","Thursday","43","35","1065","125","313","70","195","42","51","27","135","73","52","34","40","73","362",".399",".359",".824",".540","16.1","104","104","24.8","8.4","3.1","1.7","greenda02"
"3353","Friday","74","67","1886","251","572","159","336","68","74","44","248","117","71","66","85","118","729",".439",".473",".919",".603","16.7","110","102","25.5","9.9","3.4","1.6","greenda02"
"3354","Saturday","65","55","1653","201","454","111","272","44","58","33","214","106","50","49","72","99","557",".443",".408",".759",".581","15.3","105","104","25.4","8.6","3.3","1.6","greenda02"
"3355","Starter","376","376","9982","1259","2946","742","1824","313","376","203","1343","649","402","309","403","661","3573",".427",".407",".832",".574","16.1","106","102","26.5","9.5","3.6","1.7","greenda02"
"3356","Reserve","66","0","1030","137","321","64","173","45","61","35","155","65","40","39","50","71","383",".427",".370",".738",".551","17.8","102","102","15.6","5.8","2.3","1.0","greenda02"
"3357","40+","6","6","273","42","94","28","59","7","9","8","45","14","9","11","11","16","119",".447",".475",".778",".607","18.2","112","102","45.5","19.8","7.5","2.3","greenda02"
"3358","30-39","111","105","3720","497","1093","274","637","153","187","82","501","235","138","119","143","220","1421",".455",".430",".818",".605","16.3","113","104","33.5","12.8","4.5","2.1","greenda02"
"3359","20-29","224","203","5670","696","1662","418","1054","167","195","105","769","393","244","181","231","386","1977",".419",".397",".856",".566","15.9","104","101","25.3","8.8","3.4","1.8","greenda02"
"3360","10-19","73","59","1216","143","371","78","223","25","36","36","163","65","44","33","60","97","389",".385",".350",".694",".503","16.7","93","102","16.7","5.3","2.2","0.9","greenda02"
"3361","0-9","28","3","134","18","47","8","24","6","10","7","20","7","7","4","8","13","50",".383",".333",".600",".486","20.3","86","99","4.8","1.8","0.7","0.3","greenda02"
"3362","0 Days","96","84","2594","327","774","173","446","100","122","54","366","160","90","77","114","168","927",".422",".388",".820",".560","16.6","102","102","27.0","9.7","3.8","1.7","greenda02"
"3363","1 Day","235","202","5914","754","1752","456","1090","191","229","126","794","408","234","208","244","396","2155",".430",".418",".834",".582","16.2","108","102","25.2","9.2","3.4","1.7","greenda02"
"3364","2 Days","64","58","1581","194","460","118","291","38","55","35","205","93","81","36","53","104","544",".422",".405",".691",".562","15.6","105","103","24.7","8.5","3.2","1.5","greenda02"
"3365","3+ Days","39","27","777","103","234","51","142","29","31","20","113","47","30","22","31","56","286",".440",".359",".935",".577","16.2","106","102","19.9","7.3","2.9","1.2","greenda02"
"3366","Eastern","167","139","4005","482","1170","293","740","130","162","87","562","255","153","122","155","250","1387",".412",".396",".802",".559","16.0","105","101","24.0","8.3","3.4","1.5","greenda02"
"3367","Western","275","237","7008","914","2097","513","1257","228","275","151","936","459","289","226","298","482","2569",".436",".408",".829",".579","16.4","106","103","25.5","9.3","3.4","1.7","greenda02"
"3368","Atlantic","54","46","1417","170","410","100","254","48","58","27","215","85","55","48","45","86","488",".415",".394",".828",".560","15.6","107","98","26.2","9.0","4.0","1.6","greenda02"
"3369","Central","56","47","1252","151","370","91","233","41","50","25","162","75","62","32","37","84","434",".408",".391",".820",".554","15.7","108","104","22.4","7.8","2.9","1.3","greenda02"
"3370","Northwest","93","83","2368","309","692","167","397","84","99","53","310","154","88","67","111","175","869",".447",".421",".848",".591","16.2","107","105","25.5","9.3","3.3","1.7","greenda02"
"3371","Pacific","99","86","2443","335","742","198","464","66","80","56","325","149","101","88","93","164","934",".451",".427",".825",".601","16.1","111","102","24.7","9.4","3.3","1.5","greenda02"
"3372","Southeast","57","46","1335","161","390","102","253","41","54","35","185","95","36","42","73","80","465",".413",".403",".759",".562","16.8","100","101","23.4","8.2","3.2","1.7","greenda02"
"3373","Southwest","83","68","2197","270","663","148","396","78","96","42","301","156","100","71","94","143","766",".407",".374",".813",".543","16.9","101","101","26.5","9.2","3.6","1.9","greenda02"
"3374","Atlanta","9","8","251","26","69","16","40","5","6","8","35","21","6","5","11","17","73",".377",".400",".833",".509","15.1","101","101","27.9","8.1","3.9","2.3","greenda02"
"3375","Boston","11","11","345","38","91","19","50","13","16","7","46","26","13","10","9","22","108",".418",".380",".813",".551","14.2","111","99","31.3","9.8","4.2","2.4","greenda02"
"3376","CHA, CHO","13","11","287","41","90","27","57","16","17","13","40","23","12","12","16","15","125",".456",".474",".941",".641","18.3","110","98","22.0","9.6","3.1","1.8","greenda02"
"3377","Chicago","13","10","268","29","70","18","46","10","11","7","28","15","12","5","6","14","86",".414",".391",".909",".575","14.1","115","104","20.6","6.6","2.2","1.2","greenda02"
"3378","Cleveland","12","11","291","48","97","28","61","16","20","4","31","13","15","5","10","18","140",".495",".459",".800",".662","18.3","120","109","24.2","11.7","2.6","1.1","greenda02"
"3379","Dallas","22","19","607","91","192","53","111","20","25","11","87","45","23","15","17","37","255",".474",".477",".800",".628","16.7","118","100","27.6","11.6","4.0","2.0","greenda02"
"3380","Denver","18","17","486","67","159","39","94","16","20","11","59","31","22","13","22","25","189",".421",".415",".800",".563","17.5","103","105","27.0","10.5","3.3","1.7","greenda02"
"3381","Detroit","9","9","243","30","65","20","42","3","3","5","35","21","11","11","7","19","83",".462",".476","1.000",".626","13.6","119","102","27.0","9.2","3.9","2.3","greenda02"
"3382","Golden State","19","17","466","57","148","34","97","11","15","13","69","27","17","16","15","24","159",".385",".351",".733",".514","16.2","100","100","24.5","8.4","3.6","1.4","greenda02"
"3383","Houston","21","16","553","66","173","41","111","25","29","11","67","42","34","21","28","48","198",".382",".369",".862",".533","17.2","101","103","26.3","9.4","3.2","2.0","greenda02"
"3384","Indiana","11","9","237","18","65","8","40","6","8","4","40","8","10","7","6","16","50",".277",".200",".750",".365","14.5","78","101","21.6","4.5","3.6","0.7","greenda02"
"3385","LA Clippers","19","16","497","60","135","40","89","8","9","13","56","30","20","17","22","33","168",".444",".449",".889",".604","14.8","107","109","26.2","8.8","2.9","1.6","greenda02"
"3386","LA Lakers","20","19","499","70","161","47","102","11","11","10","67","36","25","23","11","36","198",".435",".461","1.000",".597","16.2","117","101","25.0","9.9","3.4","1.8","greenda02"
"3387","Memphis","20","15","479","53","147","25","85","14","18","15","62","30","22","19","30","25","145",".361",".294",".778",".468","18.4","87","98","23.9","7.3","3.1","1.5","greenda02"
"3388","Miami","10","7","190","29","67","19","40","4","10","4","23","11","6","7","11","15","81",".433",".475",".400",".567","20.2","103","103","19.0","8.1","2.3","1.1","greenda02"
"3389","Milwaukee","11","8","214","26","73","17","44","6","8","5","28","18","14","4","8","17","75",".356",".386",".750",".490","17.7","100","101","19.4","6.8","2.5","1.6","greenda02"
"3390","Minnesota","20","17","439","58","133","26","75","21","23","9","65","34","19","15","24","33","163",".436",".347",".913",".569","17.4","102","102","22.0","8.2","3.3","1.7","greenda02"
"3391","NJN, BRK","12","9","286","40","79","24","47","6","8","5","43","17","11","13","13","10","110",".506",".511",".750",".667","15.8","115","95","23.9","9.2","3.6","1.4","greenda02"
"3392","NOH, NOP","20","18","558","60","151","29","89","19","24","5","85","39","21","16","19","33","168",".397",".326",".792",".520","15.3","97","103","27.9","8.4","4.3","2.0","greenda02"
"3393","New York","10","7","247","33","82","15","44","10","12","5","37","10","10","7","7","20","91",".402",".341",".833",".521","17.7","103","105","24.7","9.1","3.7","1.0","greenda02"
"3394","Oklahoma City","19","16","504","55","139","34","91","7","11","8","58","37","24","13","21","44","151",".396",".374",".636",".525","14.7","100","106","26.5","7.9","3.1","1.9","greenda02"
"3395","Orlando","12","10","303","30","76","21","57","7","7","5","50","22","6","11","13","17","88",".395",".368","1.000",".556","14.0","100","101","25.2","7.3","4.2","1.8","greenda02"
"3396","Philadelphia","9","9","245","22","68","17","48","8","9","0","33","18","7","8","9","15","69",".324",".354",".889",".479","14.8","91","89","27.2","7.7","3.7","2.0","greenda02"
"3397","Phoenix","24","20","582","84","169","43","102","20","28","13","82","28","18","20","26","40","231",".497",".422",".714",".637","15.9","114","101","24.2","9.6","3.4","1.2","greenda02"
"3398","Portland","19","17","542","79","157","47","84","32","37","16","75","26","13","19","29","33","237",".503",".560",".865",".684","17.0","119","111","28.6","12.5","3.9","1.4","greenda02"
"3399","Sacramento","17","14","398","64","129","34","74","16","17","7","51","28","21","12","19","31","178",".496",".459",".941",".652","17.7","115","100","23.4","10.5","3.0","1.6","greenda02"
"3400","Toronto","12","10","293","37","90","25","65","11","13","10","56","14","14","10","7","19","110",".411",".385",".846",".575","15.8","112","100","24.5","9.2","4.7","1.2","greenda02"
"3401","Utah","17","16","397","50","104","21","53","8","8","9","53","26","10","7","15","40","129",".481",".396","1.000",".600","14.4","109","101","23.3","7.6","3.1","1.5","greenda02"
"3402","Washington","13","10","306","35","88","19","59","9","14","5","37","18","6","7","22","16","98",".398",".322",".643",".520","17.5","88","104","23.5","7.5","2.8","1.4","greenda02"
"3403","Total","1191","1081","42248","7553","17081","1884","5066","2714","3387","1038","4783","4847","1034","245","2371","2147","19704",".442",".372",".801",".530","22.9","107","111","35.5","16.5","4.0","4.1","johnsjo02"
"3404","Home","601","548","21396","3852","8756","1010","2662","1386","1729","545","2460","2562","544","125","1163","1036","10100",".440",".379",".802",".531","23.1","108","110","35.6","16.8","4.1","4.3","johnsjo02"
"3405","Road","590","533","20852","3701","8325","874","2404","1328","1658","493","2323","2285","490","120","1208","1111","9604",".445",".364",".801",".530","22.7","106","112","35.3","16.3","3.9","3.9","johnsjo02"
"3406","Pre","785","697","27515","4869","11195","1203","3344","1807","2240","679","3103","3077","641","157","1541","1443","12748",".435",".360",".807",".523","23.0","106","110","35.1","16.2","4.0","3.9","johnsjo02"
"3407","Post","406","384","14733","2684","5886","681","1722","907","1147","359","1680","1770","393","88","830","704","6956",".456",".395",".791",".544","22.6","109","112","36.3","17.1","4.1","4.4","johnsjo02"
"3408","Win","610","544","21457","4070","8799","1103","2656","1474","1822","552","2595","2634","553","119","1106","1007","10717",".463",".415",".809",".558","23.1","114","106","35.2","17.6","4.3","4.3","johnsjo02"
"3409","Loss","581","537","20791","3483","8282","781","2410","1240","1565","486","2188","2213","481","126","1265","1140","8987",".421",".324",".792",".501","22.7","100","116","35.8","15.5","3.8","3.8","johnsjo02"
"3410","October","19","17","621","104","254","16","59","55","72","17","75","61","17","1","35","35","279",".409",".271",".764",".488","23.0","100","107","32.7","14.7","3.9","3.2","johnsjo02"
"3411","November","214","189","7477","1268","2989","337","939","521","641","187","883","818","172","48","417","409","3394",".424",".359",".813",".519","22.7","106","109","34.9","15.9","4.1","3.8","johnsjo02"
"3412","December","217","183","7460","1329","3033","328","924","428","546","183","833","820","183","50","422","381","3414",".438",".355",".784",".522","22.9","105","110","34.4","15.7","3.8","3.8","johnsjo02"
"3413","January","245","220","8648","1590","3609","383","1035","604","725","210","974","972","210","44","452","457","4167",".441",".370",".833",".530","23.5","108","111","35.3","17.0","4.0","4.0","johnsjo02"
"3414","February","168","162","6153","1096","2465","258","686","385","490","157","673","759","139","45","389","305","2835",".445",".376",".786",".529","23.0","106","113","36.6","16.9","4.0","4.5","johnsjo02"
"3415","March","211","202","7840","1410","3090","360","887","483","604","198","891","940","203","38","453","365","3663",".456",".406",".800",".546","22.6","109","112","37.2","17.4","4.2","4.5","johnsjo02"
"3416","April","117","108","4048","756","1641","202","536","238","309","86","454","477","110","19","203","195","1952",".461",".377",".770",".549","22.5","111","111","34.6","16.7","3.9","4.1","johnsjo02"
"3417","Sunday","131","120","4741","836","1937","214","550","349","444","117","529","539","121","27","250","234","2235",".432",".389",".786",".524","23.1","108","109","36.2","17.1","4.0","4.1","johnsjo02"
"3418","Monday","139","123","4948","897","1968","221","583","307","378","114","564","576","107","24","258","242","2322",".456",".379",".812",".544","22.7","110","110","35.6","16.7","4.1","4.1","johnsjo02"
"3419","Tuesday","163","146","5787","1053","2356","253","699","354","438","150","657","655","140","41","347","282","2713",".447",".362",".808",".532","22.9","106","112","35.5","16.6","4.0","4.0","johnsjo02"
"3420","Wednesday","263","243","9389","1673","3833","433","1146","646","796","219","1051","1097","245","56","553","510","4425",".436",".378",".812",".529","23.3","107","111","35.7","16.8","4.0","4.2","johnsjo02"
"3421","Thursday","49","42","1558","243","586","68","182","75","101","52","182","148","45","12","78","74","629",".415",".374",".743",".499","21.0","102","108","31.8","12.8","3.7","3.0","johnsjo02"
"3422","Friday","259","238","9291","1691","3780","407","1100","615","774","241","1080","1113","226","49","516","463","4404",".447",".370",".795",".534","23.0","109","111","35.9","17.0","4.2","4.3","johnsjo02"
"3423","Saturday","187","169","6536","1160","2621","288","806","368","456","145","720","719","150","36","369","342","2976",".443",".357",".807",".527","22.6","105","112","35.0","15.9","3.9","3.8","johnsjo02"
"3424","Starter","1081","1081","39926","7221","16269","1804","4823","2616","3265","990","4494","4657","974","220","2260","2014","18862",".444",".374",".801",".533","23.1","108","111","36.9","17.4","4.2","4.3","johnsjo02"
"3425","Reserve","110","0","2322","332","812","80","243","98","122","48","289","190","60","25","111","133","842",".409",".329",".803",".486","19.3","97","105","21.1","7.7","2.6","1.7","johnsjo02"
"3426","40+","407","407","17677","3381","7568","756","2063","1264","1594","467","1957","2165","433","104","1027","782","8782",".447",".366",".793",".531","24.3","109","111","43.4","21.6","4.8","5.3","johnsjo02"
"3427","30-39","524","506","18607","3302","7371","900","2318","1200","1480","431","2135","2105","459","95","1027","998","8704",".448",".388",".811",".542","22.5","108","111","35.5","16.6","4.1","4.0","johnsjo02"
"3428","20-29","197","151","5096","781","1850","212","607","225","282","117","586","521","124","37","263","293","1999",".422",".349",".798",".506","20.2","101","109","25.9","10.1","3.0","2.6","johnsjo02"
"3429","10-19","52","17","806","83","264","15","71","25","31","20","101","53","18","8","51","72","206",".314",".211",".806",".371","18.7","74","107","15.5","4.0","1.9","1.0","johnsjo02"
"3430","0-9","11","0","62","6","28","1","7","0","0","3","4","3","0","1","3","2","13",".214",".143",NA,".232","22.4","46","111","5.6","1.2","0.4","0.3","johnsjo02"
"3431","0 Days","296","266","10572","1862","4242","459","1254","634","799","250","1219","1165","260","65","622","576","4817",".439",".366",".793",".524","22.9","105","111","35.7","16.3","4.1","3.9","johnsjo02"
"3432","1 Day","619","562","22000","3958","8922","1022","2674","1462","1815","538","2483","2628","541","121","1187","1084","10400",".444",".382",".806",".535","22.9","109","111","35.5","16.8","4.0","4.2","johnsjo02"
"3433","2 Days","164","151","5782","1042","2335","238","681","344","421","150","663","620","135","34","326","292","2666",".446",".349",".817",".529","22.5","107","110","35.3","16.3","4.0","3.8","johnsjo02"
"3434","3+ Days","96","87","3335","582","1330","146","393","231","296","83","350","381","81","23","204","166","1541",".438",".372",".780",".528","23.1","104","110","34.7","16.1","3.6","4.0","johnsjo02"
"3435","Eastern","674","630","24057","4297","9663","1112","2953","1617","2013","543","2685","2820","602","118","1352","1235","11323",".445",".377",".803",".537","23.0","108","110","35.7","16.8","4.0","4.2","johnsjo02"
"3436","Western","517","451","18191","3256","7418","772","2113","1097","1374","495","2098","2027","432","127","1019","912","8381",".439",".365",".798",".522","22.7","106","112","35.2","16.2","4.1","3.9","johnsjo02"
"3437","Atlantic","239","217","8433","1550","3416","417","1061","595","756","203","994","1005","225","48","495","475","4112",".454",".393",".787",".548","23.3","110","110","35.3","17.2","4.2","4.2","johnsjo02"
"3438","Central","252","234","8983","1554","3510","376","1003","553","689","186","961","1025","224","48","498","457","4037",".443",".375",".803",".529","22.3","106","110","35.6","16.0","3.8","4.1","johnsjo02"
"3439","Midwest","75","54","2368","319","835","60","189","114","150","67","286","242","71","20","130","145","812",".382",".317",".760",".451","19.9","94","108","31.6","10.8","3.8","3.2","johnsjo02"
"3440","Northwest","124","116","4523","894","1940","224","590","304","379","115","514","524","111","25","235","224","2316",".461",".380",".802",".550","24.0","112","113","36.5","18.7","4.1","4.2","johnsjo02"
"3441","Pacific","193","164","6734","1234","2816","296","800","438","552","196","767","751","155","48","396","339","3202",".438",".370",".793",".523","22.9","106","112","34.9","16.6","4.0","3.9","johnsjo02"
