"","Value","Totals >> G","Totals >> GS","Totals >> MP","Totals >> FG","Totals >> FGA","Totals >> 3P","Totals >> 3PA","Totals >> FT","Totals >> FTA","Totals >> ORB","Totals >> TRB","Totals >> AST","Totals >> STL","Totals >> BLK","Totals >> TOV","Totals >> PF","Totals >> PTS","Shooting >> FG%","Shooting >> 3P%","Shooting >> FT%","Advanced >> TS%","Advanced >> USG%","Advanced >> ORtg","Advanced >> DRtg","Per Game >> MP","Per Game >> PTS","Per Game >> TRB","Per Game >> AST","player_id"
"52","New Orleans","2","0","48","10","17","7","13","2","3","0","3","1","2","1","2","5","29",".588",".538",".667",".791","18.2","141","110","24.1","14.5","1.5","0.5","abrinal01"
"53","Orlando","1","0","19","3","7","1","4","0","0","0","3","0","0","0","1","3","7",".429",".250",NA,".500","17.9","90","127","18.9","7.0","3.0","0.0","abrinal01"
"54","Philadelphia","1","0","13","1","2","1","1","0","0","0","1","0","0","0","2","3","3",".500","1.000",NA,".750","12.4","64","101","13.4","3.0","1.0","0.0","abrinal01"
"55","Phoenix","1","0","12","0","2","0","2","0","0","1","1","0","0","0","0","1","0",".000",".000",NA,".000","7.1","43","117","12.5","0.0","1.0","0.0","abrinal01"
"56","Portland","1","0","13","2","7","1","5","0","0","0","2","1","0","0","0","1","5",".286",".200",NA,".357","21.0","93","122","13.4","5.0","2.0","1.0","abrinal01"
"57","Sacramento","2","0","21","3","7","3","6","4","5","1","3","1","1","0","3","4","13",".429",".500",".800",".707","23.3","106","117","10.5","6.5","1.5","0.5","abrinal01"
"58","Toronto","1","0","5","1","1","1","1","0","0","0","0","0","0","0","1","0","3","1.000","1.000",NA,"1.500","18.6","78","127","4.8","3.0","0.0","0.0","abrinal01"
"59","Utah","2","0","16","2","6","2","6","0","0","0","1","0","0","0","0","1","6",".333",".333",NA,".500","17.2","95","111","8.1","3.0","0.5","0.0","abrinal01"
"60","Total","770","416","17077","2442","5129","113","408","1317","1846","938","2690","1024","1110","323","1066","1835","6314",".476",".277",".713",".531","18.8","102","102","22.2","8.2","3.5","1.3","allento01"
"61","Home","386","205","8598","1184","2569","56","203","630","863","497","1389","534","553","172","515","842","3054",".461",".276",".730",".518","18.4","101","101","22.3","7.9","3.6","1.4","allento01"
"62","Road","384","211","8478","1258","2560","57","205","687","983","441","1301","490","557","151","551","993","3260",".491",".278",".699",".545","19.1","102","103","22.1","8.5","3.4","1.3","allento01"
"63","Pre","511","276","11274","1574","3345","73","264","846","1183","640","1762","652","761","209","720","1231","4067",".471",".277",".715",".526","18.6","100","101","22.1","8.0","3.4","1.3","allento01"
"64","Post","259","140","5802","868","1784","40","144","471","663","298","928","372","349","114","346","604","2247",".487",".278",".710",".541","19.2","104","103","22.4","8.7","3.6","1.4","allento01"
"65","Win","468","250","10558","1529","3153","76","247","811","1144","541","1664","634","700","202","612","1090","3945",".485",".308",".709",".539","18.6","104","98","22.6","8.4","3.6","1.4","allento01"
"66","Loss","302","166","6519","913","1976","37","161","506","702","397","1026","390","410","121","454","745","2369",".462",".230",".721",".518","19.0","98","109","21.6","7.8","3.4","1.3","allento01"
"67","October","12","6","283","37","85","3","11","17","25","16","49","20","28","4","18","35","94",".435",".273",".680",".490","17.6","93","95","23.6","7.8","4.1","1.7","allento01"
"68","November","132","64","2518","346","759","10","62","195","270","124","365","138","168","46","156","298","897",".456",".161",".722",".511","18.8","97","100","19.1","6.8","2.8","1.0","allento01"
"69","December","144","80","3270","460","1001","20","76","230","334","199","539","189","210","58","229","372","1170",".460",".263",".689",".510","19.1","97","102","22.7","8.1","3.7","1.3","allento01"
"70","January","157","94","3697","513","1066","28","80","284","387","230","590","219","261","70","230","360","1338",".481",".350",".734",".541","18.1","104","101","23.5","8.5","3.8","1.4","allento01"
