"","Value","Totals >> G","Totals >> GS","Totals >> MP","Totals >> FG","Totals >> FGA","Totals >> 3P","Totals >> 3PA","Totals >> FT","Totals >> FTA","Totals >> ORB","Totals >> TRB","Totals >> AST","Totals >> STL","Totals >> BLK","Totals >> TOV","Totals >> PF","Totals >> PTS","Shooting >> FG%","Shooting >> FT%","Advanced >> TS%","Advanced >> USG%","Advanced >> ORtg","Advanced >> DRtg","Per Game >> MP","Per Game >> PTS","Per Game >> TRB","Per Game >> AST","player_id","Shooting >> 3P%","Split"
"1","Total","278","214","6405","807","1409","0","4","397","680","700","1749","225","174","285","346","762","2011",".573",".584",".589","13.9","113","104","23.0","7.2","6.3","0.8","adamsst01",NA,NA
"2","Home","140","107","3257","397","691","0","1","216","350","342","891","108","99","159","180","377","1010",".575",".617",".598","13.7","114","102","23.3","7.2","6.4","0.8","adamsst01",NA,NA
"3","Road","138","107","3148","410","718","0","3","181","330","358","858","117","75","126","166","385","1001",".571",".548",".580","14.2","113","107","22.8","7.3","6.2","0.8","adamsst01",NA,NA
"4","Pre","204","151","4725","597","1056","0","3","310","504","504","1272","174","124","216","275","557","1504",".565",".615",".589","14.4","112","104","23.2","7.4","6.2","0.9","adamsst01",NA,NA
"5","Post","74","63","1680","210","353","0","1","87","176","196","477","51","50","69","71","205","507",".595",".494",".589","12.7","118","107","22.7","6.9","6.4","0.7","adamsst01",NA,NA
"6","Win","178","128","4021","520","912","0","2","237","415","441","1112","144","116","185","199","480","1277",".570",".571",".583","14.0","115","101","22.6","7.2","6.2","0.8","adamsst01",NA,NA
"7","Loss","100","86","2384","287","497","0","2","160","265","259","637","81","58","100","147","282","734",".577",".604",".598","13.9","110","111","23.8","7.3","6.4","0.8","adamsst01",NA,NA
"8","October","8","7","244","28","58","0","1","14","17","25","62","10","11","5","21","28","70",".483",".824",".535","14.8","96","101","30.6","8.8","7.8","1.3","adamsst01",NA,NA
"9","November","61","50","1506","179","333","0","0","95","155","145","385","47","34","79","79","170","453",".538",".613",".565","14.1","108","103","24.7","7.4","6.3","0.8","adamsst01",NA,NA
"10","December","62","45","1350","181","311","0","1","104","167","171","402","48","43","54","78","159","466",".582",".623",".606","15.1","117","103","21.8","7.5","6.5","0.8","adamsst01",NA,NA
"11","January","57","40","1307","177","304","0","1","78","126","132","353","56","30","63","71","158","432",".582",".619",".601","14.3","115","104","22.9","7.6","6.2","1.0","adamsst01",NA,NA
"12","February","26","18","533","58","92","0","0","31","60","53","125","18","9","26","39","72","147",".630",".517",".621","12.8","107","111","20.5","5.7","4.8","0.7","adamsst01",NA,NA
"13","March","42","39","980","131","214","0","0","45","85","110","292","34","34","37","45","120","307",".612",".529",".611","12.9","119","104","23.3","7.3","7.0","0.8","adamsst01",NA,NA
"14","April","22","15","484","53","97","0","1","30","70","64","130","12","13","21","13","55","136",".546",".429",".532","12.3","118","109","22.0","6.2","5.9","0.5","adamsst01",NA,NA
"15","Sunday","52","39","1138","138","254","0","0","59","105","117","311","45","28","55","72","140","335",".543",".562",".558","14.1","106","103","21.9","6.4","6.0","0.9","adamsst01",NA,NA
"16","Monday","32","28","784","109","178","0","1","55","104","87","204","22","28","37","30","96","273",".612",".529",".610","14.2","121","103","24.5","8.5","6.4","0.7","adamsst01",NA,NA
"17","Tuesday","36","27","823","103","177","0","1","47","81","95","213","22","25","34","44","98","253",".582",".580",".595","13.5","113","105","22.9","7.0","5.9","0.6","adamsst01",NA,NA
"18","Wednesday","54","42","1290","160","291","0","1","71","116","139","357","45","29","51","68","146","391",".550",".612",".572","13.7","112","107","23.9","7.2","6.6","0.8","adamsst01",NA,NA
"19","Thursday","31","23","640","75","133","0","1","54","83","74","177","21","18","25","38","77","204",".564",".651",".602","14.5","115","109","20.6","6.6","5.7","0.7","adamsst01",NA,NA
"20","Friday","51","39","1228","141","252","0","0","77","123","132","349","48","28","59","62","148","359",".560",".626",".586","13.0","115","103","24.1","7.0","6.8","0.9","adamsst01",NA,NA
"21","Saturday","22","16","502","81","124","0","0","34","68","56","138","22","18","24","32","57","196",".653",".500",".637","16.2","116","100","22.8","8.9","6.3","1.0","adamsst01",NA,NA
"22","Starter","214","214","5490","735","1261","0","4","330","570","581","1480","186","143","233","290","599","1800",".583",".579",".595","14.2","114","105","25.7","8.4","6.9","0.9","adamsst01",NA,NA
"23","Reserve","64","0","914","72","148","0","0","67","110","119","269","39","31","52","56","163","211",".486",".609",".537","12.4","107","100","14.3","3.3","4.2","0.6","adamsst01",NA,NA
"24","40+","1","1","42","6","9","0","0","1","4","5","16","0","1","1","2","4","13",".667",".250",".604","13.1","115","95","41.7","13.0","16.0","0.0","adamsst01",NA,NA
"25","30-39","54","53","1812","257","441","0","2","118","194","185","473","63","54","76","85","170","632",".583",".608",".600","14.5","118","105","33.6","11.7","8.8","1.2","adamsst01",NA,NA
"26","20-29","132","121","3326","425","738","0","2","208","349","374","938","114","92","155","180","386","1058",".576",".596",".593","14.0","114","104","25.2","8.0","7.1","0.9","adamsst01",NA,NA
"27","10-19","75","38","1124","110","204","0","0","67","124","122","295","44","25","49","74","189","287",".539",".540",".555","13.0","104","105","15.0","3.8","3.9","0.6","adamsst01",NA,NA
"28","0-9","16","1","102","9","17","0","0","3","9","14","27","4","2","4","5","13","21",".529",".333",".501","11.4","104","104","6.3","1.3","1.7","0.3","adamsst01",NA,NA
"29","0 Days","52","42","1205","143","252","0","2","74","127","130","319","30","26","45","67","154","360",".567",".583",".585","13.7","111","107","23.2","6.9","6.1","0.6","adamsst01",NA,NA
"30","1 Day","168","126","3863","504","867","0","2","241","412","435","1074","143","105","177","211","450","1249",".581",".585",".596","14.2","115","104","23.0","7.4","6.4","0.9","adamsst01",NA,NA
"31","2 Days","43","36","990","118","216","0","0","56","104","108","277","40","29","47","49","123","292",".546",".538",".558","13.5","111","102","23.0","6.8","6.4","0.9","adamsst01",NA,NA
"32","3+ Days","11","7","237","28","49","0","0","22","31","20","57","7","9","15","11","21","78",".571",".710",".623","13.7","119","102","21.6","7.1","5.2","0.6","adamsst01",NA,NA
"33","Eastern","103","78","2425","300","534","0","0","139","242","254","667","85","67","113","123","277","739",".562",".574",".577","13.8","113","103","23.5","7.2","6.5","0.8","adamsst01",NA,NA
"34","Western","175","136","3980","507","875","0","4","258","438","446","1082","140","107","172","223","485","1272",".579",".589",".596","14.0","114","105","22.7","7.3","6.2","0.8","adamsst01",NA,NA
"35","Atlantic","34","25","782","95","178","0","0","58","92","77","208","34","23","34","39","85","248",".534",".630",".568","14.5","114","104","23.0","7.3","6.1","1.0","adamsst01",NA,NA
"36","Central","33","26","811","101","182","0","0","39","69","95","225","25","24","45","41","87","241",".555",".565",".567","13.7","111","103","24.6","7.3","6.8","0.8","adamsst01",NA,NA
"37","Northwest","53","38","1206","167","281","0","2","67","115","126","315","36","35","53","72","140","401",".594",".583",".605","14.7","111","103","22.8","7.6","5.9","0.7","adamsst01",NA,NA
"38","Pacific","61","50","1412","166","288","0","1","93","159","165","406","54","37","51","69","174","425",".576",".585",".594","12.9","117","106","23.2","7.0","6.7","0.9","adamsst01",NA,NA
"39","Southeast","36","27","831","104","174","0","0","42","81","82","234","26","20","34","43","105","250",".598",".519",".596","13.2","113","103","23.1","6.9","6.5","0.7","adamsst01",NA,NA
"40","Southwest","61","48","1362","174","306","0","1","98","164","155","361","50","35","68","82","171","446",".569",".598",".590","14.6","112","106","22.3","7.3","5.9","0.8","adamsst01",NA,NA
"41","Atlanta","8","6","187","24","42","0","0","8","22","24","59","5","8","5","5","19","56",".571",".364",".542","13.4","118","108","23.4","7.0","7.4","0.6","adamsst01",NA,NA
"42","Boston","8","6","197","22","40","0","0","17","30","22","58","11","6","4","8","13","61",".550",".567",".573","13.7","121","107","24.6","7.6","7.3","1.4","adamsst01",NA,NA
"43","CHA, CHO","6","5","142","20","25","0","0","11","17","15","49","7","1","9","8","23","51",".800",".647",".785","12.1","136","99","23.7","8.5","8.2","1.2","adamsst01",NA,NA
"44","Chicago","6","5","155","22","39","0","0","5","10","12","39","4","5","9","5","17","49",".564",".500",".565","13.9","115","100","25.8","8.2","6.5","0.7","adamsst01",NA,NA
"45","Cleveland","6","6","149","15","25","0","0","6","6","18","44","2","2","8","11","18","36",".600","1.000",".651","11.3","107","112","24.8","6.0","7.3","0.3","adamsst01",NA,NA
"46","Dallas","10","9","232","32","51","0","0","19","31","22","54","8","5","6","10","33","83",".627",".613",".642","13.5","126","110","23.2","8.3","5.4","0.8","adamsst01",NA,NA
"47","Denver","12","9","258","32","54","0","0","13","27","12","43","10","10","8","14","37","77",".593",".481",".584","13.4","103","106","21.5","6.4","3.6","0.8","adamsst01",NA,NA
"48","Detroit","8","6","212","28","48","0","0","11","22","25","59","7","7","15","13","20","67",".583",".500",".581","14.7","109","99","26.5","8.4","7.4","0.9","adamsst01",NA,NA
"49","Golden State","11","9","231","32","50","0","0","15","28","23","63","10","6","7","14","28","79",".640",".536",".634","13.7","116","113","21.0","7.2","5.7","0.9","adamsst01",NA,NA
"50","Houston","14","12","298","31","60","0","0","27","38","21","76","13","8","21","18","33","89",".517",".711",".580","13.8","108","105","21.3","6.4","5.4","0.9","adamsst01",NA,NA
"51","Indiana","6","4","147","15","26","0","0","8","15","14","32","4","7","5","9","19","38",".577",".533",".583","12.1","104","106","24.5","6.3","5.3","0.7","adamsst01",NA,NA
"52","LA Clippers","14","11","349","34","62","0","1","19","32","37","97","11","4","14","15","40","87",".548",".594",".572","11.4","113","106","25.0","6.2","6.9","0.8","adamsst01",NA,NA
"53","LA Lakers","12","10","268","43","67","0","0","17","31","33","85","17","12","9","8","29","103",".642",".548",".639","13.9","134","99","22.3","8.6","7.1","1.4","adamsst01",NA,NA
"54","Memphis","12","9","309","32","66","0","0","24","46","44","82","9","7","16","15","41","88",".485",".522",".510","14.6","109","105","25.7","7.3","6.8","0.8","adamsst01",NA,NA
"55","Miami","8","6","150","26","41","0","0","4","7","15","39","2","4","8","10","20","56",".634",".571",".635","15.9","112","91","18.7","7.0","4.9","0.3","adamsst01",NA,NA
"56","Milwaukee","7","5","149","21","44","0","0","9","16","26","51","8","3","8","3","13","51",".477",".563",".500","16.0","120","102","21.2","7.3","7.3","1.1","adamsst01",NA,NA
"57","Minnesota","15","10","338","54","81","0","0","22","30","42","95","10","9","19","20","37","130",".667",".733",".690","14.5","126","102","22.5","8.7","6.3","0.7","adamsst01",NA,NA
"58","New Jersey","6","4","135","18","31","0","0","13","22","9","26","6","6","7","11","15","49",".581",".591",".602","17.1","105","106","22.6","8.2","4.3","1.0","adamsst01",NA,NA
"59","New Orleans","13","10","238","40","62","0","1","11","18","30","66","15","7","14","20","28","91",".645",".611",".651","16.2","115","105","18.3","7.0","5.1","1.2","adamsst01",NA,NA
"60","New York","7","5","159","18","41","0","0","8","11","19","50","5","4","4","6","19","44",".439",".727",".480","14.0","111","104","22.8","6.3","7.1","0.7","adamsst01",NA,NA
